Group,ID,Type,Tank,Origin,Fam,Trmt,T0,T7,T11,T14,T18,T21,T25,T28
H2-1-2,31,R,H2,inshore,19,heat,5.760055948,5.488559729,5.402912579,5.236109659,5.315708878,5.06426969,4.709634775,5.175860576
H2-3-4,40,R,H2,inshore,19,heat,6.057973348,5.440124162,5.129590656,4.957929397,4.850073874,4.786899801,4.592484615,4.370472383
H2-3-4,41,R,H2,inshore,19,heat,5.711967532,5.300275072,4.947051276,4.74312188,4.921021724,4.651783298,4.49867679,4.198654892
H2-3-4,42,R,H2,inshore,19,heat,5.708794879,5.19315662,4.855938813,4.876139492,4.893138618,4.748013593,4.480586916,4.22485197
H2-3-4,43,R,H2,inshore,19,heat,5.810805008,5.351160103,4.907626858,4.806786809,4.843572826,4.659584667,4.49031881,4.193622902
H2-3-4,48,R,H2,inshore,19,heat,5.491038899,4.921518689,4.285208453,4.348846758,4.5963827,4.334983353,4.022310117,3.912983827
H2-3-4,49,R,H2,inshore,19,heat,5.391007013,4.927658038,4.518060151,4.515042936,4.787092626,4.196086804,3.973536154,3.86685085
H2-3-4,50,R,H2,inshore,19,heat,5.325650358,4.704946573,4.351125451,4.395145077,4.375610126,4.126437464,4.017463252,4.029295779
H3-1-2,41,R,H3,inshore,19,heat,6.778251137,6.339880802,6.052897474,6.238777936,6.349161695,5.962618151,5.983532655,5.762328764
H3-1-2,42,R,H3,inshore,19,heat,5.555888453,5.334482288,4.957258858,5.308434854,5.244260447,4.837406575,4.682511011,4.386991175
H3-1-2,43,R,H3,inshore,19,heat,7.072458228,6.549903467,6.428547433,6.483833737,6.506561486,5.944469577,5.935082391,5.735800802
H3-1-2,44,R,H3,inshore,19,heat,6.504567903,6.266693948,6.369418136,6.479275946,6.704967402,6.290532701,6.019288871,6.027608378
H3-1-2,45,R,H3,inshore,19,heat,6.478984677,5.898162721,5.596349433,5.880884865,5.658891915,5.253418188,4.986143176,4.82100193
H3-1-2,48,A,H3,inshore,19,heat,8.437199197,7.669410518,8.094519646,8.108395098,8.07060835,7.477645107,7.252661489,6.457641325
H3-3-4,22,R,H3,inshore,19,heat,6.780943473,5.613216635,5.381695783,5.444095999,5.170114437,5.233537064,5.259028932,5.233297728
H3-3-4,23,R,H3,inshore,19,heat,6.604110195,5.417679202,4.972636289,5.332087242,5.088356351,5.098528735,4.899643073,5.100074911
