Trmt,Rep,Fam,Tank,Origin,Count1,Count2,Count3,AveCount,Count/mm3,Count/ml,Vol,Total,SA(mm2),Conc
Control,3,38,C3,Offshore,31.2,31.6,35.4,32.73333333,654.6666667,654666.6667,11.5,7528666.667,1775.666667,423990.9893
Heat,1,38,H1,Offshore,4.444444444,4.555555556,3.444444444,4.148148148,82.96296296,82962.96296,9.5,788148.1481,1455.666667,54143.44961
Heat,2,38,H2,Offshore,4.444444444,7.222222222,6.888888889,6.185185185,123.7037037,123703.7037,11.5,1422592.593,1375.666667,103411.1407
Heat,3,38,H3,Offshore,3,2.777777778,2.333333333,2.703703704,54.07407407,54074.07407,10.75,581296.2963,1069,54377.57683
Control,1,39,C1,Offshore,4.444444444,4.444444444,4.222222222,4.37037037,87.40740741,87407.40741,10.5,917777.7778,920.3333333,99722.32283
Control,2,39,C2,Offshore,11.8,7.555555556,5,8.118518519,162.3703704,162370.3704,10.5,1704888.889,1522.333333,111991.8254
Control,3,39,C3,Offshore,2.222222222,1.333333333,2.222222222,1.925925926,38.51851852,38518.51852,10.5,404444.4444,812.3333333,49787.9907
Heat,1,39,H1,Offshore,3.222222222,2.333333333,2.444444444,2.666666667,53.33333333,53333.33333,10.5,560000,2261.333333,24764.15094
Heat,2,39,H2,Offshore,0.888888889,0.666666667,0.333333333,0.62962963,12.59259259,12592.59259,10,125925.9259,835.6666667,15068.91814
Heat,3,39,H3,Offshore,2.444444444,1.777777778,2,2.074074074,41.48148148,41481.48148,11,456296.2963,1992.333333,22902.60815
Control,1,46,C1,Offshore,87.6,74.4,96.2,86.06666667,1721.333333,1721333.333,10.75,18504333.33,1199,1543313.873
Control,2,46,C2,Offshore,88.4,82.2,86,85.53333333,1710.666667,1710666.667,10.5,17962000,2385.666667,752913.2318
Control,3,46,C3,Offshore,55.8,53.2,53.2,54.06666667,1081.333333,1081333.333,9.5,10272666.67,1389,739572.8342
Heat,1,46,H1,Offshore,14.4,13.6,12,13.33333333,266.6666667,266666.6667,10.5,2800000,2192.333333,127717.8045
Heat,2,46,H2,Offshore,14.4,10.33333333,11.44444444,12.05925926,241.1851852,241185.1852,10,2411851.852,2325.666667,103705.8271
Heat,3,46,H3,Offshore,36.4,33.2,44.4,38,760,760000,9.5,7220000,2421.333333,298182.8194
